Tool;Model;RunIndex;PhaseName;MetricName;MetricValue
NMF;GeneratedI4O2Seed42.ttmodel;0;Initialization;Time;437878000
NMF;GeneratedI4O2Seed42.ttmodel;0;Initialization;Memory;74448896
NMF;GeneratedI4O2Seed42.ttmodel;0;Load;Time;30703000
NMF;GeneratedI4O2Seed42.ttmodel;0;Load;Memory;76152832
NMF;GeneratedI4O2Seed42.ttmodel;0;Initial;Time;224827100
NMF;GeneratedI4O2Seed42.ttmodel;0;Initial;Memory;80216064
NMF;GeneratedI8O2Seed68.ttmodel;0;Initialization;Time;444558200
NMF;GeneratedI8O2Seed68.ttmodel;0;Initialization;Memory;74711040
NMF;GeneratedI8O2Seed68.ttmodel;0;Load;Time;105650500
NMF;GeneratedI8O2Seed68.ttmodel;0;Load;Memory;86245376
NMF;GeneratedI8O2Seed68.ttmodel;0;Initial;Time;1366658800
NMF;GeneratedI8O2Seed68.ttmodel;0;Initial;Memory;169869312
NMF;GeneratedI8O4Seed68.ttmodel;0;Initialization;Time;545568500
NMF;GeneratedI8O4Seed68.ttmodel;0;Initialization;Memory;74842112
NMF;GeneratedI8O4Seed68.ttmodel;0;Load;Time;135438800
NMF;GeneratedI8O4Seed68.ttmodel;0;Load;Memory;88997888
NMF;GeneratedI8O4Seed68.ttmodel;0;Initial;Time;1496330700
NMF;GeneratedI8O4Seed68.ttmodel;0;Initial;Memory;170131456
NMF;GeneratedI10O2Seed68.ttmodel;0;Initialization;Time;469164600
NMF;GeneratedI10O2Seed68.ttmodel;0;Initialization;Memory;74842112
NMF;GeneratedI10O2Seed68.ttmodel;0;Load;Time;459372200
NMF;GeneratedI10O2Seed68.ttmodel;0;Load;Memory;144441344
NMF;GeneratedI10O2Seed68.ttmodel;0;Initial;Time;5580594300
NMF;GeneratedI10O2Seed68.ttmodel;0;Initial;Memory;308830208
NMF;GeneratedI12O2Seed7634.ttmodel;0;Initialization;Time;468297200
NMF;GeneratedI12O2Seed7634.ttmodel;0;Initialization;Memory;74711040
NMF;GeneratedI12O2Seed7634.ttmodel;0;Load;Time;1936002600
NMF;GeneratedI12O2Seed7634.ttmodel;0;Load;Memory;200314880
NMF;GeneratedI12O2Seed7634.ttmodel;0;Initial;Time;38178377600
NMF;GeneratedI12O2Seed7634.ttmodel;0;Initial;Memory;862183424
NMF;GeneratedI14O4Seed7634.ttmodel;0;Initialization;Time;425390200
NMF;GeneratedI14O4Seed7634.ttmodel;0;Initialization;Memory;74711040
NMF;GeneratedI14O4Seed7634.ttmodel;0;Load;Time;7093770700
NMF;GeneratedI14O4Seed7634.ttmodel;0;Load;Memory;374091776
NMF;GeneratedI14O4Seed7634.ttmodel;0;Initial;Time;1406033050200
NMF;GeneratedI14O4Seed7634.ttmodel;0;Initial;Memory;2023055360
NMF_DisabledTieredPGO;GeneratedI4O2Seed42.ttmodel;0;Initialization;Time;699425800
NMF_DisabledTieredPGO;GeneratedI4O2Seed42.ttmodel;0;Initialization;Memory;75104256
NMF_DisabledTieredPGO;GeneratedI4O2Seed42.ttmodel;0;Load;Time;31227900
NMF_DisabledTieredPGO;GeneratedI4O2Seed42.ttmodel;0;Load;Memory;76939264
NMF_DisabledTieredPGO;GeneratedI4O2Seed42.ttmodel;0;Initial;Time;225276200
NMF_DisabledTieredPGO;GeneratedI4O2Seed42.ttmodel;0;Initial;Memory;80740352
NMF_DisabledTieredPGO;GeneratedI8O2Seed68.ttmodel;0;Initialization;Time;454441100
NMF_DisabledTieredPGO;GeneratedI8O2Seed68.ttmodel;0;Initialization;Memory;74973184
NMF_DisabledTieredPGO;GeneratedI8O2Seed68.ttmodel;0;Load;Time;118597300
NMF_DisabledTieredPGO;GeneratedI8O2Seed68.ttmodel;0;Load;Memory;86638592
NMF_DisabledTieredPGO;GeneratedI8O2Seed68.ttmodel;0;Initial;Time;1264757300
NMF_DisabledTieredPGO;GeneratedI8O2Seed68.ttmodel;0;Initial;Memory;170524672
NMF_DisabledTieredPGO;GeneratedI8O4Seed68.ttmodel;0;Initialization;Time;452157700
